C:\Users\makeden\Documents\югдорпроект_конвертер_PDF\Несколько_рамок_в_модели_в_одном_слое_штамп_рамка.dwg,Модель,14.07.2026 14:57:46,makeden,AutoCAD PDF (General Documentation).pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
E:\Temp\temp_28962f8bec314493b8114412a6d52fc8.dwg,Сопряжение,14.07.2026 15:20:07,makeden,DWG To PDF.pc3,ANSI A (11.00 x 8.50 дюймов),1:484.705,
E:\Temp\temp_b1a705660ac54d1584a5c1e97634a2c9.dwg,Сопряжение,14.07.2026 15:21:27,makeden,DWG To PDF.pc3,ANSI A (11.00 x 8.50 дюймов),1:484.705,
E:\Temp\temp_1336ebdce77f4854b53fb0c32d47ac06.dwg,Лист1,14.07.2026 15:21:47,makeden,DWG To PDF.pc3,ANSI A (11.00 x 8.50 дюймов),1:335.783,
C:\Users\makeden\Documents\югдорпроект_конвертер_PDF\cad_server_workdir\Несколько_рамок_в_принудительном_порядке_в_листе.dwg,Сопряжение,14.07.2026 15:25:35,makeden,AutoCAD PDF (General Documentation).pc3,Прежний размер листа (891.00 x 420.00 мм),1:1,
C:\Users\makeden\Documents\югдорпроект_конвертер_PDF\cad_server_workdir\Несколько_рамок_в_принудительном_порядке_в_листе.dwg,Сопряжение,14.07.2026 15:29:55,makeden,DWG To PDF.pc3,ANSI A (11.00 x 8.50 дюймов),1:1,
E:\Temp\temp_1246973c67ff49318100af0b0fc9e386.dwg,Лист1,14.07.2026 15:31:52,makeden,DWG To PDF.pc3,ANSI A (11.00 x 8.50 дюймов),1:1,
E:\Temp\test_export.dwg,Лист1,14.07.2026 15:35:06,makeden,AutoCAD PDF (General Documentation).pc3,Прежний размер листа (1261.00 x 594.00 мм),1:1,
E:\Temp\test_export.dwg,Лист2,14.07.2026 15:35:11,makeden,AutoCAD PDF (General Documentation).pc3,ISO A4 (210.00 x 297.00 мм),1:1,
E:\Temp\temp_42e0296396144884b789c6c54898dfd0.dwg,Лист1,14.07.2026 15:37:19,makeden,AutoCAD PDF (General Documentation).pc3,Прежний размер листа (1261.00 x 594.00 мм),1:1,
E:\Temp\temp_42e0296396144884b789c6c54898dfd0.dwg,Лист2,14.07.2026 15:37:23,makeden,AutoCAD PDF (General Documentation).pc3,ISO A4 (210.00 x 297.00 мм),1:1,
